DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
BANK,Banks,103.0,NSW,LP,LP,0.5626185544532868,0.5144046664885564,0,0.0482138879647303,0.0482138879647303,47.68319933777943,11.178675356469226,1854.4135292001545,265134.2520372497,-3262.3048235331967,Banks,0.49304
BART,Barton,104.0,NSW,ALP,ALP,0.5941472855283794,0.5830083692504162,0,0.0111389162779631,0.0111389162779631,47.25884242513174,11.221474366165207,1925.5852010893816,225239.1817898636,-2010.603275302058,Barton,-0.031849999999999976
BENN,Bennelong,105.0,NSW,LP,LP,0.5691189450184311,0.5971636434604417,0,-0.0280446984420106,-0.0280446984420106,46.54181551821662,11.475802678801871,2083.386432013649,167623.68573437387,-1931.9823188173784,Bennelong,0.2392931034482759
BERO,Berowra,106.0,NSW,LP,LP,0.6564871682970186,0.6644543008179372,0,-0.0079671325209186,-0.0079671325209186,49.31813901803332,11.454072344560744,2381.047742959525,165880.7533241964,292.7383076028382,Berowra,0.3720083333333333
BLAX,Blaxland,107.0,NSW,ALP,ALP,0.6472007722007722,0.6948363272203792,0,-0.047635555019607,-0.047635555019607,46.84096607894751,11.059207923053863,1718.1506091284266,338945.55552484305,-5110.648408397658,Blaxland,-0.020776190476190476
BRFD,Bradfield,108.0,NSW,LP,LP,0.6656438846301863,0.7103509408975373,0,-0.0447070562673509,-0.0447070562673509,51.077171474364754,11.680084302129396,2502.695910534749,126198.25108641337,-1288.1272407315882,Bradfield,0.18072
CALA,Calare,109.0,NSW,NP,NP,0.6329203743479594,0.6180617882287242,0,0.0148585861192352,0.0148585861192352,51.73619553488084,10.590327660230578,1599.6177736085149,25531.90556392226,44.4255352024546,Calare,0.03591672200422578
CHIF,Chifley,111.0,NSW,ALP,ALP,0.6237061292662023,0.6918627072888546,0,-0.0681565780226522,-0.0681565780226522,45.798778519613336,11.096347858492829,2037.7405408078328,387104.0,45.0,Chifley,0.03887500000000001
COOK,Cook,112.0,NSW,LP,LP,0.6901928251598013,0.653936641680801,0,0.0362561834790002,0.0362561834790002,49.73111030812862,11.168046565286254,2186.0104187519296,222875.36721044272,454.174768518744,Cook,0.50615
COWP,Cowper,113.0,NSW,NP,NP,0.5679251004472746,0.5455538372317804,0,0.0223712632154942,0.0223712632154942,54.83624537599006,10.470993011708096,1301.842601003853,30245.6740434232,241.19202663336867,Cowper,0.12902387387387385
CUNN,Cunningham,114.0,NSW,ALP,ALP,0.634067363946085,0.633248730964467,0,0.0008186329816179,0.0008186329816179,49.26226310826322,10.84708894179844,1803.640669581628,217466.3163230856,38.69605705791962,Cunningham,0.20348792588164977
