DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
BANK,Banks,103.0,NSW,LP,LP,0.5626185544532868,0.5144046664885564,0,0.0482138879647303,0.0482138879647303,44.34516963142491,10.395970873626483,1724.3859379956157,246738.93,-3036.45
BART,Barton,104.0,NSW,ALP,ALP,0.5941472855283794,0.5830083692504162,0,0.0111389162779631,0.0111389162779631,24.572478432682555,5.836013313053893,1002.3948524210224,227039.93,-2025.65
BENN,Bennelong,105.0,NSW,LP,LP,0.5691189450184311,0.5971636434604417,0,-0.0280446984420106,-0.0280446984420106,45.15229591017082,11.131567950626817,2021.3268749391395,162306.40000000002,-1868.81
BERO,Berowra,106.0,NSW,LP,LP,0.6564871682970186,0.6644543008179372,0,-0.0079671325209186,-0.0079671325209186,46.354738405738615,10.766595789138217,2238.758107523317,156042.54,292.55999999999995
BLAX,Blaxland,107.0,NSW,ALP,ALP,0.6472007722007722,0.6948363272203792,0,-0.047635555019607,-0.047635555019607,46.85291879453985,11.058922824919373,1717.8995544208165,339619.52,-5108.64
BRFD,Bradfield,108.0,NSW,LP,LP,0.6656438846301863,0.7103509408975373,0,-0.0447070562673509,-0.0447070562673509,50.55225221731024,11.563671072210438,2477.6461581644176,124641.54,-1276.7399999999998
CALA,Calare,109.0,NSW,NP,NP,0.6329203743479594,0.6180617882287242,0,0.0148585861192352,0.0148585861192352,45.4926960978306,9.321496794092736,1409.1121852722422,26181.860000000004,43.47
CHIF,Chifley,111.0,NSW,ALP,ALP,0.6237061292662023,0.6918627072888546,0,-0.0681565780226522,-0.0681565780226522,45.798778519613336,11.096347858492829,2037.7405408078328,387104.0,45.0
COOK,Cook,112.0,NSW,LP,LP,0.6901928251598013,0.653936641680801,0,0.0362561834790002,0.0362561834790002,30.83508134045204,6.924059792657383,1355.5048218310098,151692.09999999998,312.52000000000004
COWP,Cowper,113.0,NSW,NP,NP,0.5679251004472746,0.5455538372317804,0,0.0223712632154942,0.0223712632154942,54.27987067353,10.367051921009404,1289.115326925755,29802.660000000003,233.82
CUNN,Cunningham,114.0,NSW,ALP,ALP,0.634067363946085,0.633248730964467,0,0.0008186329816179,0.0008186329816179,49.26176502018919,10.847006928511648,1803.8385966500207,217341.26,38.88
DOBE,Dobell,115.0,NSW,ALP,ALP,0.5149576651257233,0.5481411754970312,0,-0.0331835103713079,-0.0331835103713079,47.17430849270691,9.785990319887285,1528.0755090613682,315913.78,622.44
EMON,Eden-Monaro,117.0,NSW,ALP,ALP,0.5084878953042041,0.5293059098751971,0,-0.0208180145709929,-0.0208180145709929,51.22147973898874,10.90714455449826,1692.460396480196,27923.43,236.81
FARR,Farrer,118.0,NSW,LP,LP,0.6093635924276857,0.7052671905900869,0,-0.0959035981624012,-0.0959035981624012,52.23096080519263,10.4742757860411,1455.279956615018,6459.259999999999,35.120000000000005
FOWL,Fowler,119.0,NSW,ALP,ALP,0.6399407152419201,0.6748731862687272,0,-0.034932471026807,-0.034932471026807,47.33662210794572,10.849765838127349,1662.376464943351,216290.45,-2182.46
GILM,Gilmore,120.0,NSW,ALP,LP,0.5261290712036926,0.5072841648169508,1,0.0188449063867417,0.0334132360206433,55.08210299653729,10.596416130318644,1435.2612847933833,88809.36,1317.28
GRAY,Grayndler,121.0,NSW,ALP,ALP,0.6630450664829775,0.6582197857191602,0,0.0048252807638172,0.0048252807638172,39.37047933416162,9.851607865090312,1953.958833023432,175366.06,-2872.7
GREE,Greenway,122.0,NSW,ALP,ALP,0.5279717717025977,0.5631040714838971,0,-0.0351322997812993,-0.0351322997812993,45.31216876032577,10.985575815665138,2006.0563176074768,377342.16,-173.49
HUGH,Hughes,124.0,NSW,LP,LP,0.5984752489763433,0.5932541375191946,0,0.0052211114571486,0.0052211114571486,47.62591695568655,10.788345243069958,2066.6261150112964,227381.57,865.4300000000001
HUME,Hume,125.0,NSW,LP,LP,0.6298881318209328,0.6017929378054947,0,0.0280951940154381,0.0280951940154381,52.7749269481031,10.637288430721522,1655.918257895746,26320.120000000003,208.21
HUNT,Hunter,126.0,NSW,ALP,ALP,0.5297669221570972,0.6246242199324115,0,-0.0948572977753142,-0.0948572977753142,48.17026949174154,10.546675998432097,1794.8252798434692,37246.37,258.41
