lga_code_2021,lga_name_2021,area_km2,erp_2021,net_migration_2020_21
10050,Albury,305.638610839844,55754,566.0
10180,Armidale Regional,7809.4404296875,29484,-310.0
10250,Ballina,484.969207763672,45773,584.0
10300,Balranald,21690.75,2276,-37.0
10470,Bathurst Regional,3817.86450195312,44540,344.0
10500,Bayside (NSW),50.6203994750977,182369,-445.0
10550,Bega Valley,6278.50146484375,35046,403.0
10600,Bellingen,1600.43383789062,13248,129.0
10650,Berrigan,2065.8876953125,8810,42.0
10750,Blacktown,238.847106933594,387104,45.0
10800,Bland,8557.6533203125,5923,-29.0
10850,Blayney,1524.64697265625,7408,0.0
10900,Blue Mountains,1431.14416503906,78740,-632.0
10950,Bogan,14599.8994140625,2481,-74.0
11150,Bourke,41598.37109375,2596,-48.0
11200,Brewarrina,19162.029296875,1520,-41.0
11250,Broken Hill,170.115295410156,17230,-76.0
11520,Canada Bay,19.923900604248,95919,-1162.0
11570,Canterbury-Bankstown,110.237396240234,378425,-4993.0
11600,Carrathool,18934.484375,2789,-29.0
11300,Burwood,7.1282000541687,40686,-296.0
11350,Byron,565.802673339844,36217,269.0
11400,Cabonne,6022.349609375,13759,53.0
11450,Camden,201.527801513672,114516,4965.0
11500,Campbelltown (NSW),311.411712646484,175687,-185.0
11650,Central Coast (NSW),1681.005859375,347158,684.0
11700,Central Darling,53492.19140625,1834,-5.0
11720,Cessnock,1965.15930175781,63020,1368.0
11730,Clarence Valley,10428.6806640625,52993,1323.0
11750,Cobar,45575.3515625,4365,-75.0
11800,Coffs Harbour,1173.74353027344,78093,369.0
12000,Coolamon,2430.90380859375,4304,24.0
12150,Coonamble,9916.0537109375,3854,-77.0
12160,Cootamundra-Gundagai Regional,3981.41723632812,11169,-35.0
12350,Cowra,2808.78198242188,12785,41.0
12380,Cumberland,72.7496032714844,239834,-5406.0
12390,Dubbo Regional,7534.52490234375,54195,-273.0
12700,Dungog,2249.99829101562,9784,110.0
12730,Edward River,8883.4462890625,9158,80.0
12750,Eurobodalla,3428.16943359375,39362,549.0
12850,Fairfield,101.507202148438,207922,-3743.0
12870,Federation,5684.92529296875,12735,188.0
12900,Forbes,4710.1279296875,9934,5.0
12930,Georges River,38.3375015258789,159266,-1645.0
12950,Gilgandra,4831.505859375,4205,-32.0
13010,Glen Innes Severn,5479.97705078125,8816,-37.0
13310,Goulburn Mulwaree,3220.07958984375,31796,151.0
13340,Greater Hume Shire,5749.3876953125,11020,157.0
13450,Griffith,1639.17321777344,27173,-203.0
13550,Gunnedah,4987.029296875,12713,-121.0
13660,Gwydir,9259.654296875,5323,37.0
13800,Hawkesbury,2775.1376953125,68009,-193.0
13850,Hay,11325.9326171875,2945,-3.0
13910,Hilltops,7140.88671875,18553,-106.0
14000,Hornsby,455.037414550781,150698,-2010.0
14100,Hunters Hill,5.71689987182617,14861,-86.0
14170,Inner West,35.211498260498,199759,-3301.0
14220,Inverell,9404.7568359375,17696,-130.0
14300,Junee,2030.02221679688,6738,30.0
14350,Kempsey,3375.67041015625,30092,170.0
14400,Kiama,257.663787841797,24006,280.0
14500,Ku-ring-gai,85.4093017578125,126554,-1165.0
14550,Kyogle,3584.18286132812,8841,45.0
14600,Lachlan,14968.25390625,6025,-84.0
14650,Lake Macquarie,648.639282226562,210031,1775.0
14700,Lane Cove,10.4788999557495,40336,-576.0
14750,Leeton,1167.18762207031,11242,-169.0
14850,Lismore,1287.70422363281,43790,84.0
14870,Lithgow,4512.255859375,21556,10.0
14900,Liverpool,305.740112304688,234917,1291.0
14920,Liverpool Plains,5082.23974609375,7848,-24.0
14950,Lockhart,2895.80493164062,3221,-45.0
15050,Maitland,391.508911132812,90449,2331.0
15240,Mid-Coast,10053.86328125,95209,1189.0
15270,Mid-Western Regional,8752.2587890625,25563,100.0
15300,Moree Plains,17902.703125,12988,-183.0
15350,Mosman,8.65030002593994,30122,-787.0
15520,Murray River,11863.0166015625,12571,241.0
15560,Murrumbidgee,6880.7900390625,3871,-47.0
15650,Muswellbrook,3404.88403320312,16212,-221.0
15700,Nambucca Valley,1491.34313964844,19911,104.0
15750,Narrabri,13014.994140625,12948,-182.0
15800,Narrandera,4116.345703125,5834,-35.0
15850,Narromine,5261.5166015625,6392,-82.0
15900,Newcastle,186.725494384766,168880,993.0
15950,North Sydney,10.4910001754761,73712,-2083.0
15990,Northern Beaches,254.20719909668,272184,-3170.0
16100,Oberon,3625.04711914062,5425,0.0
16150,Orange,284.215911865234,42809,-26.0
16200,Parkes,5957.61376953125,14623,-175.0
16260,Parramatta,83.8302993774414,258799,-3763.0
16350,Penrith,404.702087402344,219173,698.0
16380,Port Macquarie-Hastings,3682.3916015625,87560,1686.0
16400,Port Stephens,858.435729980469,75685,1071.0
16490,Queanbeyan-Palerang Regional,5319.00732421875,63491,648.0
16550,Randwick,36.3310012817383,153498,-3899.0
16610,Richmond Valley,3047.37475585938,23572,-13.0
16700,Ryde,40.4746017456055,132822,-1209.0
16900,Shellharbour,147.420806884766,76364,1323.0
16950,Shoalhaven,4567.201171875,108892,1631.0
17000,Singleton,4892.716796875,23573,17.0
17040,Snowy Monaro Regional,15164.7900390625,21207,167.0
17080,Snowy Valleys,8958.921875,14349,-78.0
17150,Sutherland Shire,333.580596923828,234275,782.0
17200,Sydney,26.6762008666992,242237,-7952.0
17310,Tamworth Regional,9884.3505859375,62782,-118.0
17350,Temora,2802.01586914062,6249,-9.0
17400,Tenterfield,7324.30712890625,6502,44.0
17420,The Hills Shire,386.158294677734,188557,3732.0
17100,Strathfield,14.0008001327515,47705,-431.0
17550,Tweed,1307.78527832031,99480,1077.0
17620,Upper Hunter Shire,8096.0888671875,14152,-49.0
17640,Upper Lachlan Shire,7127.3955078125,8419,115.0
17650,Uralla,3226.53271484375,5883,-66.0
17750,Wagga Wagga,4824.48876953125,66408,87.0
17850,Walcha,6261.0244140625,3103,-3.0
17900,Walgett,22308.251953125,5785,-56.0
17950,Warren,10753.767578125,2708,-17.0
18020,Warrumbungle Shire,12372.1201171875,9118,-68.0
18050,Waverley,9.35060024261475,72743,-2204.0
18100,Weddin,3414.85668945312,3577,-17.0
18200,Wentworth,26255.93359375,7142,37.0
18250,Willoughby,22.4256992340088,79556,-1954.0
18350,Wingecarribee,2689.34155273438,52309,597.0
18400,Wollondilly,2555.43408203125,54772,278.0
18450,Wollongong,684.3076171875,220659,34.0
18500,Woollahra,12.2583999633789,58480,-1282.0
18710,Yass Valley,3995.01708984375,17608,214.0
19399,Unincorporated NSW,93208.921875,925,-49.0
20110,Alpine,4788.1572265625,13069,141.0
