neg_nil_inc_non_fam_househlds, all_incomes_ns_famly_househld, hi_1250_1499_tot, hi_1500_1749_fam_households, hi_4000_more_tot, hi_400_499_non_fam_househlds, hi_400_499_family_households, hi_650_799_tot, part_inc_stated_fam_household, hi_800_999_non_fam_hsehlds, tot_family_households, hi_1000_1249_fam_households, hi_3500_3999_fam_households, hi_1_149_non_family_hseholds, hi_800_999_fam_households, hi_3500_3999_non_fam_hsehlds, hi_500_649_non_fam_househlds, hi_2000_2499_tot, hi_1750_1999_non_fam_hsehlds, lga_code_2021, hi_400_499_tot, hi_4000_more_fam_households, hi_1250_1499_non_fam_hsehlds, hi_1250_1499_fam_households, hi_1000_1249_tot, hi_1000_1249_non_fam_hsehlds, hi_500_649_family_households, hi_2000_2499_fam_households, part_inc_std_non_fam_hhds, negative_nil_income_tot, hi_1500_1749_tot, hi_3000_3499_fam_households, partial_income_stated_tot, hi_3500_3999_tot, hi_650_799_non_fam_househlds, hi_500_649_tot, hi_2500_2999_fam_households, hi_150_299_tot, hi_150_299_non_fam_househlds, hi_2500_2999_non_fam_hsehlds, hi_300_399_family_households, hi_4000_more_non_fam_hsehlds, all_incomes_not_stated_tot, tot_non_family_households, hi_1500_1749_non_fam_hsehlds, hi_150_299_family_households, hi_1750_1999_tot, hi_800_999_tot, hi_300_399_non_fam_househlds, hi_2500_2999_tot, all_inc_ns_non_famly_househld, hi_1_149_family_households, hi_3000_3499_non_fam_hsehlds, hi_2000_2499_non_fam_hsehlds, tot_tot, hi_1_149_tot, hi_3000_3499_tot, neg_nil_inc_fam_households, hi_300_399_tot, hi_1750_1999_fam_households, hi_650_799_family_households
200,187,1753,929,1477,1291,246,1560,856,755,14360,1015,642,74,834,27,976,2479,261,"10050",1538,1333,537,1211,1762,755,342,2055,84,300,1343,1085,939,673,625,1317,1439,337,267,71,65,134,524,7822,417,67,1238,1580,506,1511,336,43,78,425,22182,122,1160,98,571,976,937
162,166,1436,751,1520,1066,207,1350,769,562,12451,986,529,84,801,13,824,1904,189,"10250",1269,1402,332,1109,1437,446,216,1610,92,252,1001,872,862,545,499,1041,1142,207,173,62,51,118,410,5828,252,36,984,1369,349,1206,246,59,64,291,18281,144,932,92,400,801,860
6,13,46,34,36,46,9,47,48,16,503,42,20,0,31,0,22,81,4,"10300",57,33,19,31,67,26,18,67,0,16,38,28,49,22,12,38,40,12,9,0,4,4,31,229,5,3,60,47,20,40,21,0,0,11,733,3,28,6,21,47,35
148,137,1199,642,1293,795,163,975,781,479,10999,788,606,63,588,9,555,1824,211,"10470",951,1213,340,862,1257,475,187,1486,64,231,946,843,839,619,359,736,1186,181,139,56,59,80,301,4940,309,39,894,1067,320,1239,167,38,60,334,15942,98,903,80,380,683,618
154,136,1233,597,665,1036,223,1298,686,446,9738,888,295,76,739,6,663,1372,131,"10550",1256,603,233,1003,1306,420,241,1182,47,270,806,528,730,297,421,899,774,243,191,15,69,68,350,4889,208,52,785,1186,345,790,217,70,39,183,14630,149,567,115,418,651,876
61,59,424,220,220,361,84,434,256,173,3482,332,114,20,256,0,223,456,46,"10600",446,195,79,343,450,121,86,389,39,109,297,201,293,115,138,306,288,84,54,7,28,24,118,1702,73,27,282,428,157,291,65,26,7,63,5185,45,209,42,186,232,293
45,61,273,118,139,274,44,346,156,101,2235,194,62,10,173,0,163,290,24,"10650",326,129,50,227,291,92,57,267,11,70,160,127,163,60,94,218,174,49,38,0,13,18,133,1139,40,11,165,274,72,178,69,9,0,30,3373,18,127,30,89,139,251
1045,1111,7950,5345,16720,3552,1386,5469,5036,1795,98872,4918,6703,291,3855,141,1723,15526,1047,"10750",4942,16203,1612,6340,7037,2119,1640,13833,352,2081,6668,9655,5384,6838,1256,3373,10910,1151,772,304,519,517,1899,22463,1327,378,6588,5649,1727,11214,794,261,397,1689,121337,549,10053,1035,2244,5538,4210
29,29,147,71,118,141,32,163,152,55,1436,98,49,13,90,0,63,233,25,"10800",173,110,41,104,162,62,34,189,16,48,100,97,168,52,46,98,125,32,26,0,7,9,82,715,29,6,113,145,50,127,48,10,9,39,2151,23,102,18,60,92,119
29,31,219,107,211,133,30,188,170,71,2011,125,106,13,114,0,83,306,38,"10850",166,201,42,184,180,54,36,253,3,45,151,146,170,104,60,121,218,36,28,0,11,4,59,753,44,13,142,181,55,218,30,6,9,48,2763,21,156,20,64,104,132
282,145,2228,1191,3909,1559,291,1733,1080,783,21637,1417,1293,124,1033,15,1064,3379,377,"10900",1849,3713,559,1668,2222,802,319,2725,76,432,1625,1938,1157,1311,729,1382,2177,368,286,53,82,193,392,8893,433,83,1633,1812,513,2229,246,78,132,652,30528,204,2070,143,590,1258,1006
8,14,57,35,78,58,13,53,71,29,624,40,28,8,37,0,31,87,9,"10950",72,79,23,40,58,15,19,77,3,16,49,31,71,24,18,50,56,7,9,0,4,10,44,298,10,0,49,61,26,58,27,3,5,16,923,10,41,6,29,34,39
6,35,56,23,64,39,8,50,60,20,513,23,15,4,26,0,15,86,14,"11150",43,49,19,33,47,25,9,61,5,17,31,45,66,15,12,24,37,11,6,4,4,19,55,258,9,3,45,43,9,36,17,3,5,21,774,10,48,10,11,32,37
11,5,22,11,28,32,14,39,31,21,282,29,9,0,18,0,12,44,10,"11200",42,17,8,17,38,8,9,28,4,18,14,10,28,9,7,19,16,24,21,0,3,5,17,189,3,0,17,38,23,16,9,6,4,11,473,8,16,10,32,8,27
77,94,524,218,370,690,113,579,362,229,4429,362,193,34,335,0,321,657,98,"11250",800,323,153,374,560,200,118,492,21,138,349,295,380,200,193,440,386,137,114,12,35,44,237,2875,130,21,349,562,211,401,144,15,29,163,7308,52,324,55,249,247,389
216,200,1545,886,3062,927,231,1171,1026,463,17549,864,1118,79,679,17,531,2772,267,"13800",1161,2964,435,1115,1371,508,255,2390,61,394,1216,1620,1087,1136,380,783,1959,228,163,52,77,103,391,5511,332,65,1334,1144,324,2011,188,69,90,383,23060,148,1712,177,396,1065,796
10,25,87,40,58,84,20,82,92,32,728,52,19,8,49,0,42,115,14,"13850",101,53,25,67,77,20,16,99,6,24,62,29,98,19,35,56,56,23,20,5,0,3,50,403,18,4,55,80,36,58,28,3,0,14,1134,14,31,14,36,40,49
70,134,553,298,372,593,138,647,371,227,4938,402,133,33,371,0,260,687,62,"13910",734,337,122,433,641,234,121,606,21,139,370,275,391,133,198,386,386,122,80,15,30,37,265,2468,70,37,367,596,209,404,132,25,20,80,7403,59,296,76,242,311,454
399,286,2910,1695,13006,1283,459,2001,1975,856,41149,1773,2833,170,1280,32,1061,5437,575,"14000",1742,12672,793,2120,2652,884,462,4414,99,779,2390,3796,2074,2868,774,1519,3570,484,334,105,150,337,527,10484,696,144,2342,2133,549,3680,239,147,276,1023,51629,320,4071,376,701,1763,1226
53,21,210,92,1788,131,29,155,186,90,3475,115,170,17,67,5,94,395,60,"14100",161,1700,82,120,201,85,33,267,14,89,160,210,199,171,75,122,204,64,51,8,3,92,66,1201,69,10,165,156,72,220,43,14,34,129,4670,31,241,39,78,103,78
768,290,4194,1586,19283,2335,465,2661,2013,1779,46078,1621,3253,244,1192,372,1587,8436,1837,"14170",2805,16961,2228,1966,3850,2233,420,4618,854,1185,3658,3936,2866,3623,1408,2005,3843,710,585,619,153,2320,748,28007,2078,120,3649,2964,1262,4459,457,161,1239,3816,74091,403,5177,416,1409,1813,1255
24,23,154,93,124,139,28,148,107,71,1452,105,61,8,92,4,80,200,20,"14300",163,116,35,116,154,51,38,166,7,42,119,107,112,62,49,118,142,20,8,3,5,12,63,646,28,7,128,170,45,148,37,8,10,26,2103,14,117,22,47,113,103
108,156,961,507,373,874,222,1163,514,334,7705,726,198,46,708,0,470,967,82,"14350",1092,339,158,804,1010,286,241,859,34,202,630,345,547,200,293,714,529,197,163,17,66,31,347,3655,122,35,530,1043,311,538,190,54,13,110,11352,101,365,87,377,449,871
62,67,643,295,1210,374,86,505,400,193,6490,429,350,22,325,9,242,948,96,"14400",458,1148,120,519,648,219,89,799,26,120,399,535,428,356,166,333,613,88,69,16,27,63,125,2122,107,17,461,518,97,628,57,19,43,149,8612,46,581,60,122,366,335
