births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, state_name_2021, net_internal_migration_2019_20, deaths_2018_19, internal_departures_2018_19, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, lga_name_2021, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, lga_code_2021, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, births_2019_20, erp_2012, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, internal_departures_2020_21, erp_change_number_2020_21, internal_arrivals_2019_20, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, state_code_2021, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, primaryindex, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, internal_arrivals_2020_21, erp_2004, internal_arrivals_2018_19, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19
696,132,636,726,"New South Wales",335,474,3704,255,230,224,208,"Albury",3861,157,472,3570,"10050",175,3331,455,52989,53705,54344,218,55754,55056,1.26779997348785,308,181,125,497,259,482,305.638610839844,542,434,48518,48814,47566,48140,239,692,49785,49451,49222,3565,52171,504,51486,50990,50338,3545,698,3900,489,259,3643,490,1,271,182.418106079102,24,1,189,45265,46180,45816,47004,4087,46505,3829,274,202,729
319,91,309,358,"New South Wales",-464,201,2409,151,298,99,272,"Armidale Regional",1982,199,220,1907,"10180",226,2159,190,29629,29705,29812,-374,29484,29703,-0.737299978733063,403,182,-379,648,335,623,7809.4404296875,-293,558,27788,28156,27377,27468,-252,347,28748,28573,28409,2186,29310,218,29160,29015,28895,2256,-219,1722,633,332,2356,218,1,168,3.77539992332458,-17,2,245,27906,27610,27774,27350,1963,27410,2030,351,129,352
379,-32,431,401,"New South Wales",554,466,3067,-16,159,-82,144,"Ballina",3677,108,461,2985,"10250",122,2650,466,43480,44172,44622,584,45773,45221,1.22070002555847,217,126,286,347,180,334,484.969207763672,566,302,40020,40295,39537,39824,335,388,41118,40747,40571,2880,42993,463,42336,41881,41510,3147,552,3434,339,180,3093,465,1,-65,94.38330078125,18,3,130,37856,38870,38417,39305,3713,39120,3353,190,-77,450
26,8,28,38,"New South Wales",-46,21,181,11,5,11,5,"Balranald",137,4,15,110,"10300",4,125,17,2343,2338,2338,-22,2276,2305,-1.2581000328064,7,4,-17,12,6,11,21690.75,-37,10,2433,2404,2507,2473,-15,31,2363,2353,2381,165,2330,20,2364,2376,2381,168,-29,119,11,6,159,22,1,21,0.104900002479553,0,4,5,2751,2661,2703,2545,131,2596,164,6,9,32
484,201,503,482,"New South Wales",132,325,2532,204,135,154,123,"Bathurst Regional",2508,92,330,2150,"10470",101,1935,317,42806,43163,43612,42,44540,43995,1.23880004882812,182,109,91,294,154,284,3817.86450195312,327,255,37904,38848,36916,37272,215,458,40301,39960,39484,2379,42244,302,41694,41157,40727,2422,545,2511,289,154,2466,308,1,165,11.6661996841431,17,5,112,35504,36084,35831,36547,2749,36245,2623,161,150,529
2265,1369,2385,2468,"New South Wales",-1374,973,13358,1325,3814,1155,3473,"Bayside (NSW)",11576,2566,1110,10277,"10500",3104,11060,1018,170266,174218,178351,-1842,182369,181445,0.509199976921082,5065,3382,-1709,8202,4517,8112,50.6203994750977,-1261,7407,139556,142527,133205,135831,-783,2333,148028,144985,144295,13539,164534,1016,159222,154980,151309,14862,924,12165,8331,4303,13418,969,1,1450,3602.67797851562,816,6,3137,129075,130598,129377,132112,13601,131144,11649,4639,1364,2298
319,-87,273,281,"New South Wales",250,381,2026,-82,65,-103,59,"Bega Valley",2337,45,422,1824,"10550",49,1674,345,34117,34315,34473,222,35046,34730,0.909900009632111,90,57,163,144,77,138,6278.50146484375,391,125,32367,32620,31829,32183,150,300,33288,33128,32962,1809,33941,360,33713,33562,33430,1886,316,2059,142,76,2115,342,1,-64,5.58190011978149,12,7,54,30425,31056,30790,31608,2277,31406,2189,79,-42,299
109,-23,107,110,"New South Wales",168,117,1119,16,33,-29,28,"Bellingen",1119,22,138,890,"10600",26,914,129,12951,12953,12993,-10,13248,13142,0.806599974632263,43,26,-12,70,36,69,1600.43383789062,125,62,12787,12837,12716,12773,-24,108,12909,12923,12891,1014,12951,130,12936,12929,12920,1140,106,1182,69,36,1129,153,1,-19,8.27779960632324,4,8,27,12634,12705,12673,12682,1265,12672,1107,41,-45,133
78,-17,69,75,"New South Wales",8,103,635,-27,31,-2,29,"Berrigan",606,21,80,608,"10650",24,570,96,8667,8700,8750,-1,8810,8785,0.284599989652634,41,25,43,67,34,65,2065.8876953125,38,59,8237,8282,8160,8204,38,95,8365,8297,8291,588,8609,86,8568,8519,8436,588,25,596,65,35,607,92,1,-21,4.2645001411438,4,9,26,8075,8035,8058,8076,626,8014,678,36,3,76
5769,4279,5969,5743,"New South Wales",1180,1630,24925,4335,3916,4091,3571,"Blacktown",23242,2652,1678,21001,"10750",2885,20425,1637,357839,366078,374372,-361,387104,382780,1.12960004806519,5127,3063,-310,8358,4269,8080,238.847106933594,-366,7267,292002,299450,278894,284925,576,6035,317735,312346,306601,24193,348030,1690,339449,331825,324797,26512,4324,25373,8185,4382,23603,1692,1,4106,1620.71887207031,411,10,3231,263103,268806,267048,275206,26146,271434,24615,4509,4343,5965
